y,x,z,d
2.628315233,-4.33,15.4518,325.5
2.579656986,-4.6,15.5258,326.5
2.579656986,-4.56,15.6016,327.5
2.583622623,-4.55,15.67725,328.5
2.583622623,-4.99,15.75275,329.5
2.515778313,-5.36,15.8309,330.5
2.514541455,-5.2,15.91175,331.5
2.553613848,-4.905,15.9911,332.5
2.553613848,-4.775,16.0689,333.5
2.549765222,-4.945,16.14685,334.5
2.549765222,-5.43,16.22495,335.5
2.490120217,-5.655,16.30545,336.5
2.488914671,-5.52,16.3884,337.5
2.502256288,-5.505,16.47085,338.5
2.502256288,-5.43,16.55275,339.5
2.519498095,-5.32,16.63395,340.5
2.519498095,-5.77,16.71445,341.5
2.45457145,-6.09,16.79765,342.5
2.45457145,-5.87,16.88355,343.5
2.472187877,-5.915,16.9687,344.5
2.472187877,-6.21,17.0531,345.5
2.421368629,-6.54,17.1397,346.5
2.421368629,-6.81,17.2285,347.5
2.393604491,-6.88,17.31855,348.5
2.393604491,-6.81,17.40985,349.5
2.407945609,-6.755,17.5005,350.5
2.406835114,-6.87,17.59055,351.5
2.383795148,-7.065,17.6817,352.5
2.383795148,-7.325,17.7739,353.5
2.31364604,-7.91,17.86945,354.5
2.31364604,-8.42,17.96835,355.5
2.284745175,-8.275,18.0687,356.5
2.285727976,-7.82,18.17045,357.5
2.349676701,-7.565,18.269,358.5
2.349676701,-7.49,18.3644,359.5
2.335108285,-7.77,18.4605,360.5
2.336141877,-8.18,18.55725,361.5
2.320749064,-7.975,18.6547,362.5
2.319731252,-7.73,18.75295,363.5
2.338212271,-7.81,18.85035,364.5
2.338212271,-7.83,18.94685,365.5
2.345492594,-7.77,19.043,366.5
2.344449297,-7.735,19.13885,367.5
2.332013904,-7.97,19.23535,368.5
2.332013904,-8.41,19.33245,369.5
2.299589584,-8.395,19.43115,370.5
2.299589584,-8.025,19.53145,371.5
2.354931573,-7.815,19.62905,372.5
2.353878387,-7.855,19.724,373.5
2.3227878,-8.235,19.8205,374.5
2.3227878,-8.465,19.9185,375.5
2.296603021,-8.58,20.0178,376.5
2.296603021,-8.595,20.1184,377.5
2.349676701,-8.02,20.2164,378.5
2.349676701,-7.605,20.3118,379.5
2.365524893,-7.87,20.40645,380.5
2.365524893,-8.185,20.50035,381.5
2.345492594,-8.145,20.5952,382.5
2.344449297,-7.92,20.69105,383.5
2.3892329,-7.675,20.78485,384.5
2.388142981,-7.62,20.8766,385.5
2.368724895,-7.925,20.9693,386.5
2.36765709,-8.3,21.06295,387.5
2.310617265,-8.58,21.1594,388.5
2.309609708,-8.615,21.25865,389.5
2.308603165,-8.565,21.358,390.5
2.308603165,-8.3,21.4574,391.5
2.369793843,-7.805,21.55385,392.5
2.369793843,-7.73,21.64735,393.5
2.375155786,-7.68,21.7406,394.5
2.375155786,-7.67,21.8336,395.5
2.344449297,-7.965,21.92805,396.5
2.343407088,-8.095,22.024,397.5
2.32995629,-8.055,22.12065,398.5
2.32995629,-8.035,22.21795,399.5
2.327902901,-8,22.31535,400.5
2.327902901,-7.915,22.41285,401.5
2.32995629,-7.905,22.51025,402.5
2.32995629,-8.03,22.60755,403.5
2.304587096,-8.11,22.7061,404.5
2.305589602,-8.015,22.80585,405.5
2.314657674,-7.92,22.9051,406.5
2.314657674,-7.91,23.0039,407.5
2.304587096,-7.955,23.1032,408.5
2.304587096,-8.045,23.203,409.5
2.301585593,-7.91,23.30295,410.5
2.30058709,-7.545,23.4031,411.5
2.328929068,-7.51,23.5019,412.5
2.327902901,-7.95,23.59935,413.5
2.25094186,-8.285,23.70075,414.5
2.251891979,-8.225,23.806,415.5
2.255701507,-8.135,23.911,416.5
2.254747764,-8.28,24.01585,417.5
2.202739758,-8.615,24.12355,418.5
2.202739758,-8.82,24.23405,419.5
2.190149664,-8.635,24.34525,420.5
2.190149664,-8.375,24.45715,421.5
2.205458382,-8.335,24.5682,422.5
2.205458382,-8.41,24.6784,423.5
2.184802057,-8.485,24.78975,424.5
2.183913563,-8.555,24.9023,425.5
2.196424897,-8.28,25.0142,426.5
2.197324582,-7.945,25.12535,427.5
2.200931439,-8.21,25.23625,428.5
2.200931439,-8.65,25.34695,429.5
2.145581344,-8.845,25.4608,430.5
2.145581344,-8.95,25.5778,431.5
2.156754645,-8.775,25.69415,432.5
2.155890714,-8.15,25.8099,433.5
2.231195097,-7.98,25.9215,434.5
2.230264431,-8.415,26.02895,435.5
2.177716111,-8.63,26.13935,436.5
2.178599113,-8.63,26.2526,437.5
2.191938573,-8.535,26.36505,438.5
2.191938573,-8.35,26.47675,439.5
2.232126629,-8.145,26.58625,440.5
2.232126629,-7.95,26.69355,441.5
2.228405695,-8.275,26.80105,442.5
2.227477621,-9.035,26.9088,443.5
2.178599113,-8.925,27.0193,444.5
2.177716111,-7.995,27.13255,445.5
2.307597635,-7.52,27.23895,446.5
2.307597635,-7.505,27.33845,447.5
2.326877786,-7.375,27.437,448.5
2.32585372,-7.125,27.53465,449.5
2.34028696,-7.285,27.63165,450.5
2.34028696,-7.855,27.72795,451.5
2.278868566,-8.06,27.8273,452.5
2.278868566,-7.905,27.9297,453.5
2.310617265,-7.755,28.0305,454.5
2.311625838,-7.785,28.12965,455.5
2.289668868,-8.08,28.22985,456.5
2.289668868,-8.2,28.33115,457.5
2.310617265,-7.915,28.4314,458.5
2.311625838,-7.375,28.53055,459.5
2.396895772,-7.015,28.6256,460.5
2.395797475,-7.12,28.71665,461.5
2.3816283,-7.275,28.8084,462.5
2.380546634,-7.38,28.90085,463.5
2.370863934,-7.475,28.9938,464.5
2.370863934,-7.32,29.0872,465.5
2.400197922,-7.2,29.17925,466.5
2.399095993,-7.395,29.27,467.5
2.363397232,-7.685,29.36245,468.5
2.362335097,-7.935,29.4566,469.5
2.33407576,-8.07,29.55215,470.5
2.3330443,-8.09,29.6491,471.5
2.350725468,-7.915,29.74525,472.5
2.350725468,-7.65,29.84055,473.5
