y,x,z,d
3.344645212,-0.39,10.783,331.375
3.365479299,0.295,10.8022,331.925
3.370756356,0.045,10.82115,332.475
3.370756356,-0.805,10.84005,333.025
3.314186005,-0.925,10.8595,333.575
3.314186005,-1.045,10.8795,334.125
3.314186005,-1.02,10.8995,334.675
3.349813182,-0.655,10.91915,335.225
3.349813182,-0.285,10.93845,335.775
3.349813182,0.015,10.95775,336.325
3.355007999,-0.13,10.977,336.875
3.355007999,-0.935,10.9962,337.425
3.355007999,-1.08,11.0154,337.975
3.339503813,-0.565,11.03475,338.525
3.344645212,-0.025,11.0542,339.075
3.344645212,-0.34,11.0736,339.625
3.299297392,-1.385,11.09345,340.175
3.304235674,-1.235,11.1137,340.725
3.304235674,-0.39,11.1339,341.275
3.376061408,-0.195,11.1534,341.825
3.381394754,0.015,11.17215,342.375
3.376061408,0.11,11.1909,342.925
3.329299642,-0.765,11.21015,343.475
3.334388712,-1.295,11.2298,344.025
3.329299642,-0.805,11.24945,344.575
3.279784578,-0.94,11.26965,345.125
3.274965292,-1.515,11.2904,345.675
3.279784578,-1.275,11.31115,346.225
3.381394754,-0.28,11.33085,346.775
3.376061408,0.45,11.3496,347.325
3.381394754,0.355,11.36835,347.875
3.334388712,-0.055,11.3875,348.425
3.339503813,-1.22,11.40705,348.975
3.334388712,-1.38,11.4266,349.525
3.355007999,-0.465,11.446,350.075
3.349813182,-0.635,11.46525,350.625
3.349813182,0.17,11.48455,351.175
3.365479299,1.2,11.5037,351.725
3.360229943,-0.33,11.52275,352.275
3.365479299,-1.275,11.5418,352.825
3.284627202,-1.185,11.5616,353.375
3.289493392,-1.18,11.58215,353.925
3.289493392,-0.57,11.60265,354.475
3.386756698,0.025,11.6222,355.025
3.386756698,0.28,11.6408,355.575
3.386756698,0.465,11.6594,356.125
3.381394754,0.535,11.67805,356.675
3.386756698,-0.225,11.6967,357.225
3.386756698,-1.03,11.7153,357.775
3.274965292,-1.125,11.735,358.325
3.279784578,-1.04,11.75575,358.875
3.279784578,-1.155,11.77645,359.425
3.314186005,-0.67,11.7968,359.975
3.314186005,-0.62,11.8168,360.525
3.309198463,-0.52,11.83685,361.075
3.339503813,-0.525,11.85665,361.625
3.339503813,-0.495,11.87615,362.175
3.334388712,-0.61,11.8957,362.725
3.304235674,-0.895,11.9156,363.275
3.304235674,-0.69,11.9358,363.825
3.299297392,-0.405,11.95605,364.375
3.260645238,-0.615,11.97675,364.925
3.255917097,-1.89,11.9979,365.475
3.255917097,-2.165,12.0191,366.025
3.187553354,-1.97,12.04105,366.575
3.183157742,-1.975,12.0638,367.125
3.187553354,-1.985,12.08655,367.675
3.161464918,-1.975,12.10955,368.225
3.161464918,-2.31,12.13285,368.775
3.165766,-2.71,12.1561,369.325
3.165766,-2.165,12.1793,369.875
3.170085661,-1.84,12.20245,370.425
3.165766,-1.975,12.2256,370.975
3.123565645,-2.49,12.2493,371.525
3.123565645,-2.795,12.2735,372.075
3.123565645,-2.74,12.2977,372.625
3.05182174,-3.675,12.3228,373.175
3.047982964,-3.735,12.34885,373.725
3.05182174,-3,12.3749,374.275
3.083074284,-3.39,12.4005,374.825
3.087050432,-3.22,12.42565,375.375
3.083074284,-2.375,12.4508,375.925
3.095050475,-2.865,12.47585,376.475
3.099074625,-2.92,12.5007,377.025
3.095050475,-3.23,12.52555,377.575
2.988485865,-4.315,12.55185,378.125
2.988485865,-3.945,12.57955,378.675
2.988485865,-4.2,12.60725,379.225
3.014081412,-4.04,12.6346,379.775
3.014081412,-2.965,12.6616,380.325
3.014081412,-3.43,12.6886,380.875
2.988485865,-4.12,12.71595,381.425
2.992102506,-4,12.7436,381.975
2.988485865,-4.68,12.77125,382.525
2.885655624,-5.205,12.80045,383.075
2.882403588,-5.04,12.8312,383.625
2.882403588,-4.91,12.862,384.175
2.925528015,-4.9,12.89215,384.725
2.928923604,-4.515,12.9216,385.275
2.925528015,-4.115,12.95105,385.825
2.918771232,-4.27,12.98065,386.375
2.918771232,-4.735,13.01035,386.925
2.918771232,-5.405,13.04005,387.475
2.922143917,-4.815,13.0697,388.025
2.922143917,-4.42,13.0993,388.575
2.922143917,-4.15,13.1289,389.125
2.932330762,-3.985,13.15835,389.675
2.932330762,-4.615,13.18765,390.225
2.932330762,-4.93,13.21695,390.775
2.925528015,-4.81,13.24635,391.325
2.925528015,-4.215,13.27585,391.875
2.928923604,-3.95,13.3053,392.425
2.915409885,-4.33,13.3349,392.975
2.915409885,-4.89,13.3647,393.525
2.915409885,-4.935,13.3945,394.075
2.949542891,-4.485,13.4238,394.625
2.946076683,-3.87,13.45265,395.175
2.949542891,-3.705,13.4815,395.725
2.967056474,-4.27,13.51005,396.275
